Participant Private ID,other_languages,own_dialect,lang.variety,party,party-text,social_desirability_A-quantised,social_desirability_B-quantised,social_desirability_C-quantised,social_desirability_D-quantised,social_desirability_E-quantised,social_desirability_F-quantised,social_desirability_G-quantised,social_desirability_H-quantised,social_desirability_I-quantised,populism_A,populism_B,populism_C,populism_D,political_spectrum,political_spectrum_other,political_spectrum_other-text,political_orientation_A,political_orientation_B,political_orientation_C,political_orientation_D,Participant Status,Participant OS,Participant Browser,Task Name,counterbalance-nimi,counterbalance-x3xi,counterbalance-xq3l,randomiser-rtb5,age,gender,state_of_residence,education_school,education_profession1,education_profession2,income,profession,profession-text,education_profession1_sum,education_school_sum
11356342,nein,1,Hochdeutsch,Ich möchte die Frage nicht beantworten,NA,2,1,2,1,2,2,2,2,1,4,5,3,3,50,NA,NA,3,5,3,5,complete,Linux x86_64,Chrome 126.0.0.0,(socio-)demographics,NA,NA,M_7,Speaker Gender M,52,Männlich,Berlin,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Berufsfachschulabschluss,Kein zweiter Abschluss,1250 bis unter 1500 Euro,Nicht berufstätig (Hausfrau/Hausmann),NA,low,middle
11356355,nein,2,Hochdeutsch,BSW,NA,2,1,2,1,2,2,2,1,2,4,4,3,5,33,NA,NA,4,5,3,5,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,NA,NA,M_3,Speaker Gender M,54,Männlich,Baden-Württemberg,Hauptschulabschluss/ Volksschulabschluss/ Abschluss der polytechnischen Oberschule 8. oder 9. Klasse,Berufsfachschulabschluss,Abgeschlossene kaufmännische Lehre,2000 bis unter 2500 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,low,low
11356389,NA,1,Hochdeutsch,AfD,NA,2,1,1,1,2,1,2,2,2,5,5,5,5,100,NA,NA,1,5,5,5,complete,Mac OS 10.15.7,Chrome 126.0.0.0,(socio-)demographics,F_6,NA,NA,Speaker Gender F,56,Männlich,Berlin,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Berufsfachschulabschluss,Berufsfachschulabschluss,2000 bis unter 2500 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,low,middle
11356443,NA,2,Hochdeutsch,CDU/CSU,NA,1,1,2,1,2,2,2,1,1,3,5,4,1,96,NA,NA,1,5,3,5,complete,Windows 10,Firefox 127.0,(socio-)demographics,NA,M_vs._F_33,NA,Speaker Gender M vs. F,50,Männlich,Bayern,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Fachschulabschluss,Kein zweiter Abschluss,3000 bis unter 4000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,high
11356470,sächsisch,6,Schwäbisch,AfD,NA,2,1,2,1,2,2,1,2,2,5,4,4,3,84,NA,NA,3,5,5,5,complete,Windows 10,Edge 126.0.0.0,(socio-)demographics,NA,M_vs._F_4,NA,Speaker Gender M vs. F,59,Männlich,Baden-Württemberg,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,Kein zweiter Abschluss,2000 bis unter 2500 Euro,Pensionär/in oder Rentner/in (früher berufstätig),NA,middle,middle
11356514,NA,4,Thüringisch,Ich würde eine ungültige Stimme abgeben,NA,1,2,2,1,1,1,1,2,1,4,3,4,2,55,NA,NA,1,4,3,3,complete,Windows 10,Chrome 109.0.0.0,(socio-)demographics,NA,NA,M_6,Speaker Gender M,37,Männlich,Thüringen,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Master),Kein zweiter Abschluss,1000 bis unter 1250 Euro,Zurzeit arbeitslos,NA,high,high
11356556,NA,1,Hochdeutsch,FDP,NA,2,1,1,1,2,1,1,1,1,1,1,1,1,50,NA,NA,1,3,1,1,complete,Mac OS 10.15.7,Chrome 126.0.0.0,(socio-)demographics,NA,NA,M_9,Speaker Gender M,47,Männlich,Hamburg,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Hochschulabschluss (Master),Kein zweiter Abschluss,4000 bis unter 5000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,high,high
11356762,nein,1,Hochdeutsch,AfD,NA,1,1,2,1,1,2,2,1,2,3,3,3,3,64,NA,NA,3,3,3,3,complete,Windows 10,Chrome 126.0.0.0,(socio-)demographics,NA,M_vs._F_16,NA,Speaker Gender M vs. F,57,Männlich,Bremen,Realschulabschluss/ Mittlere Reife/ Fachschulreife oder Abschluss der polytechnischen Oberschule 10. Klasse,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,2000 bis unter 2500 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,middle,middle
11356797,NA,4,berlinerisch,AfD,NA,1,2,2,1,2,1,2,1,2,3,3,2,4,64,NA,NA,4,3,4,3,complete,Windows 10,Edge 126.0.0.0,(socio-)demographics,NA,NA,M_5,Speaker Gender M,29,Männlich,Berlin,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Berufsfachschulabschluss,Kein zweiter Abschluss,4000 bis unter 5000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,low,high
11356797,NA,4,Anderer Dialekt,AfD,NA,1,2,2,1,2,1,2,1,2,3,3,2,4,64,NA,NA,4,3,4,3,complete,Windows 10,Edge 126.0.0.0,(socio-)demographics,NA,NA,M_5,Speaker Gender M,29,Männlich,Berlin,Abitur bzw. erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Berufsfachschulabschluss,Kein zweiter Abschluss,4000 bis unter 5000 Euro,Vollzeit berufstätig (mehr als 30 Stunden/Woche),NA,low,high
