Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: Progress,Store: Audio Check 1,Store: Audio Check 2,Store: Audio Check Redirect
1,1719843673176,01/07/2024 14:21:13,1719850873176,2,01/07/2024 18:21:13,86579,59,task-7qjh,,38652987,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio check only male, only female",10,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,
2,1719843674574,01/07/2024 14:21:14,1719850874574,2,01/07/2024 18:21:14,86579,59,task-7qjh,,38652987,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio check only male, only female",10,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 1,nipj9h,1,info,audio started,1111.599999976158,1100.1,1111.599999976158,1111.599999976158,1100.1,1111.599999976158,1,1111.599999976158,0,0,,Audio Clip,Continue Button,2,object-89,Instructions1,,,,,
3,1719843675812,01/07/2024 14:21:15,1719850875812,2,01/07/2024 18:21:15,86579,59,task-7qjh,,38652987,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio check only male, only female",10,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 1,nipj9h,1,response,continue,2349.8000000238417,2333.3999999999996,2349.8000000238417,2349.8000000238417,2333.3999999999996,2349.8000000238417,1,2349.8000000238417,0,0,,Click Response,Continue Button,4,object-4,Instructions1,,1,,,
4,1719843678001,01/07/2024 14:21:18,1719850878001,2,01/07/2024 18:21:18,86579,59,task-7qjh,,38652987,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio check only male, only female",10,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 1,nipj9h,1,info,audio finished,4539.9000000476835,4533.5,4539.9000000476835,4539.9000000476835,4533.5,4539.9000000476835,1,4539.9000000476835,0,0,,Audio Clip,Continue Button,2,object-89,Instructions1,,1,,,
5,1719843679573,01/07/2024 14:21:19,1719850879573,2,01/07/2024 18:21:19,86579,59,task-7qjh,,38652987,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio check only male, only female",10,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,y2f9hw,2,info,audio started,1577.8000000238417,1566.5999999999995,1577.8000000238417,1577.8000000238417,1566.5999999999995,1577.8000000238417,1,1577.8000000238417,0,0,,Audio Clip,Audio,3,object-94,Instructions1,,1,,,
6,1719843682995,01/07/2024 14:21:22,1719850882995,2,01/07/2024 18:21:22,86579,59,task-7qjh,,38652987,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio check only male, only female",10,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,y2f9hw,2,info,audio finished,4999.9000000476835,4983.400000000001,4999.9000000476835,4999.9000000476835,4983.400000000001,4999.9000000476835,1,4999.9000000476835,0,0,,Audio Clip,Audio,3,object-94,Instructions1,,1,,,
7,1719843684242,01/07/2024 14:21:24,1719850884242,2,01/07/2024 18:21:24,86579,59,task-7qjh,,38652987,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio check only male, only female",10,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,y2f9hw,2,response,continue,6246.500000071525,6233.400000000001,6246.500000071525,6246.500000071525,6233.400000000001,6246.500000071525,1,6246.500000071525,0,0,ResponseProgress,Click Response,Continue Button,2,object-93,Instructions1,,2,,,
8,1719843684244,01/07/2024 14:21:24,1719850884244,2,01/07/2024 18:21:24,86579,59,task-7qjh,,38652987,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio check only male, only female",10,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,y2f9hw,2,response,Ja,3349.999999999999,6233.400000000001,6249.2,3349.999999999999,6233.400000000001,6249.2,1,3349.999999999999,2899.2000000000007,0,AudioCheck1,Dropdown,Dropdown,7,object-15,Instructions1,,2,Ja,,
9,1719843684245,01/07/2024 14:21:24,1719850884245,2,01/07/2024 18:21:24,86579,59,task-7qjh,,38652987,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio check only male, only female",10,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 2,y2f9hw,2,response,Ja,5549.900000000001,6233.400000000001,6249.599999976158,5549.900000000001,6233.400000000001,6249.599999976158,1,5549.900000000001,699.6999999761574,0,AudioCheck2,Dropdown,Dropdown,8,object-16,Instructions1,,2,Ja,Ja,
10,1719843684247,01/07/2024 14:21:24,1719850884247,2,01/07/2024 18:21:24,86579,59,task-7qjh,,38652987,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio check only male, only female",10,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,Spreadsheet1,Spreadsheet1,1,Instructions1,Screen 3,17uzn1,3,timedOut,,18.600000071524846,16.599999999998545,18.600000071524846,18.600000071524846,16.599999999998545,18.600000071524846,1,18.600000071524846,0,0,,Time Limit,screen,0,screen,Instructions1,,2,Ja,Ja,2
