Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Speaker Gender,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Display,Spreadsheet: Trial type,Spreadsheet: Audio,Spreadsheet: Speaker,Spreadsheet: Speaker illusion,Spreadsheet: Speaker gender,Spreadsheet: Variety,Spreadsheet: Political orientation,Spreadsheet: Stimulus number,Spreadsheet: Stimulus1,Spreadsheet: Stimulus2,Spreadsheet: Stimulus3,Spreadsheet: Stimulus4,Spreadsheet: Stimulus5,Spreadsheet: Stimulus6,Spreadsheet: Attention Check,Spreadsheet: Correct,Spreadsheet: ,Manipulation: Spreadsheet,Manipulation: Speaker Gender,Store: Progress,Store: Attention Check,Store: Test,Store: Feedback,Store: Attention Check Redirect,Store: Content Attention Check
1,1719843699587,01/07/2024 14:21:39,1719850899587,2,01/07/2024 18:21:39,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,$${CounterbalanceFemale},,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1719843708164,01/07/2024 14:21:48,1719850908164,2,01/07/2024 18:21:48,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Instructions1,Screen 1,o7izo2,1,continue,,8599.699999928474,8583.5,8599.699999928474,8599.699999928474,8583.5,8599.699999928474,1,8599.699999928474,0,0,,Click To Continue,Continue Button,2,object-1171,,Instructions1,,,,,,,,,,,,,,,,,,,Female,3,,,,,
3,1719843715517,01/07/2024 14:21:55,1719850915517,2,01/07/2024 18:21:55,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Instructions1,Screen 2,5e7h7u,2,continue,,7370.899999976158,7366.700000000001,7370.899999976158,7370.899999976158,7366.700000000001,7370.899999976158,1,7370.899999976158,0,0,,Click To Continue,Continue Button,2,object-1260,,Instructions1,,,,,,,,,,,,,,,,,,,Female,4,,,,,
4,1719843717062,01/07/2024 14:21:57,1719850917062,2,01/07/2024 18:21:57,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Instructions1,Screen 3,9t27mn,3,continue,,1549.6999999761574,1533.2999999999993,1549.6999999761574,1549.6999999761574,1533.2999999999993,1549.6999999761574,1,1549.6999999761574,0,0,,Click To Continue,Continue Button,2,object-26,,Instructions1,,,,,,,,,,,,,,,,,,,Female,5,,,,,
5,1719843717131,01/07/2024 14:21:57,1719850917131,2,01/07/2024 18:21:57,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Instructions1,Screen 4,q3lb72,4,continue,,84.69999992847443,83.29999999999927,84.69999992847443,84.69999992847443,83.29999999999927,84.69999992847443,1,84.69999992847443,0,0,,Click To Continue,Continue Button,2,object-35,,Instructions1,,,,,,,,,,,,,,,,,,,Female,6,,,,,
6,1719843717184,01/07/2024 14:21:57,1719850917184,2,01/07/2024 18:21:57,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,info,audio started,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,1,16.599999999998545,0,0,,Audio Clip,Audio,27,object-2205,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,,,
7,1719843724523,01/07/2024 14:22:04,1719850924523,2,01/07/2024 18:22:04,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,info,audio finished,7393.999999952317,7383.500000000004,7393.999999952317,7393.999999952317,7383.500000000004,7393.999999952317,1,7393.999999952317,0,0,,Audio Clip,Audio,27,object-2205,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,,,
8,1719843725642,01/07/2024 14:22:05,1719850925642,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,continue,,8510.800000023843,8500.2,8510.800000023843,8510.800000023843,8500.2,8510.800000023843,1,8510.800000023843,0,0,,Click To Continue,Continue Button,3,object-1765,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,,,
9,1719843725646,01/07/2024 14:22:05,1719850925646,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,response,4,3366.899999999998,8500.2,8516.599999976159,3366.899999999998,8500.2,8516.599999976159,1,3366.899999999998,5149.699999976161,0,AttentionCheck,Rating Scale,Rating Charisma,2,object-1764,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,4,,
10,1719843725647,01/07/2024 14:22:05,1719850925647,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,response,4,3916.7000000000007,8500.2,8516.899999999998,3916.7000000000007,8500.2,8516.899999999998,1,3916.7000000000007,4600.199999999997,0,,Rating Scale,Rating Scale,5,object-1767,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,4,,
