PublicID,Name,Email Address,Recruitment Policy,Group,Version,Checkpoint,Current Node,Status,Included,Activated
sf0kpy5n,,,Simple Link,,6,,task-6a8b,Rejected (Time Limit),FALSE,12/05/2022
8kxecywv,,,Simple Link,,8,,task-ldr9,Rejected (Time Limit),FALSE,12/05/2022
s44rb4e5,,,Simple Link,,8,,task-ldr9,Rejected (Time Limit),FALSE,12/05/2022
8182601y,,,Simple Link,,9,,task-ldr9,Rejected (Time Limit),FALSE,12/05/2022
jq40po2e,,,Simple Link,,10,,task-ldr9,Rejected (Time Limit),FALSE,12/05/2022
lai4ky69,,,Simple Link,,11,,,Complete,TRUE,12/05/2022
jyi5vhwz,,,Simple Link,,12,,task-ldr9,Rejected (Time Limit),FALSE,12/05/2022
nb3exnn5,,,Simple Link,,13,,questionnaire-ke87,Rejected (Manual),FALSE,12/05/2022
yooayy2m,,,Simple Link,,13,,questionnaire-ke87,Rejected (Manual),FALSE,12/05/2022
kzmfyduq,,,Simple Link,,13,,,Complete,TRUE,12/05/2022
5n5spi0w,,,Simple Link,,15,,questionnaire-gh7i,Rejected (Manual),TRUE,12/05/2022
pqd0frm9,,,Simple Link,,16,,task-o6l9,Rejected (Manual),TRUE,12/05/2022
kek78935,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,13/05/2022
8psth8bi,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
cxgx0wws,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
sqs3giub,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
a48ua22b,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
ky1xm29h,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,14/05/2022
qtz7k95j,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
85spz2js,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
y7ung9pv,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
fpyele5r,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
8dfojcji,,,Simple Link,,16,,task-o6l9,Rejected (Time Limit),TRUE,14/05/2022
hk136n3b,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
7icgjfx1,,,Simple Link,,16,,task-o6l9,Rejected (Time Limit),TRUE,14/05/2022
b6bkq7l1,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
ykwvdtvb,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
7a8nmhjg,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
pos3s0fl,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
c4ia0nmd,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
fuuf8x00,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,14/05/2022
ucjdo09m,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,14/05/2022
uf1lcvm6,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,14/05/2022
akx2o4nt,,,Simple Link,,16,,questionnaire-ke87,Rejected (Time Limit),FALSE,14/05/2022
jw6rh2zr,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
ggaqfic8,,,Simple Link,,16,,questionnaire-f6gl,Rejected (Time Limit),TRUE,14/05/2022
16g4p4d7,,,Simple Link,,16,,questionnaire-ke87,Rejected (Time Limit),FALSE,14/05/2022
i7300bzu,,,Simple Link,,16,,task-hyo2,Rejected (Time Limit),TRUE,14/05/2022
fdp01ycu,,,Simple Link,,16,,task-ldr9,Rejected (Time Limit),FALSE,14/05/2022
s14vyuq0,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
bt4hfv57,,,Simple Link,,16,,,Complete,TRUE,14/05/2022
